시도,시군구,구분,2017,,,,,,,,,,,,,,2018,,,,,,,,,,,,,,2019,,,,,,,,,,,,,,2020,,,,,,,,,,,,,,2021,,,,,,,,,,,,,
,,,합계,승용차,승합차,화물차,특수차,이륜차,사륜오토바이(ATV),원동기장치자전거,자전거,개인형이동수단(PM),건설기계,농기계,기타,불명,합계,승용차,승합차,화물차,특수차,이륜차,사륜오토바이(ATV),원동기장치자전거,자전거,개인형이동수단(PM),건설기계,농기계,기타,불명,합계,승용차,승합차,화물차,특수차,이륜차,사륜오토바이(ATV),원동기장치자전거,자전거,개인형이동수단(PM),건설기계,농기계,기타,불명,합계,승용차,승합차,화물차,특수차,이륜차,사륜오토바이(ATV),원동기장치자전거,자전거,개인형이동수단(PM),건설기계,농기계,기타,불명,합계,승용차,승합차,화물차,특수차,이륜차,사륜오토바이(ATV),원동기장치자전거,자전거,개인형이동수단(PM),건설기계,농기계,기타,불명
,강동구,사고건수,1371,872,95,137,4,68,1,34,80,1,14,,3,62,1418,917,111,135,7,90,,25,66,2,13,,2,50,1414,863,117,160,13,109,2,20,70,2,7,,2,49,1268,773,90,123,5,96,1,31,79,10,25,,2,33,1047,657,56,108,3,94,,31,56,7,12,,,23
,,사망자수,19,6,1,4,0,1,0,2,5,0,0,,0,0,12,8,1,1,0,0,,0,0,0,2,,0,0,11,7,0,1,0,2,0,1,0,0,0,,0,0,7,1,0,0,0,1,0,1,3,0,1,,0,0,9,6,0,1,0,0,,1,0,0,1,,,0
,,부상자수,1873,1230,148,194,11,81,2,37,82,1,20,,3,64,1922,1299,162,171,10,108,,28,70,2,19,,3,50,1910,1186,166,230,17,148,2,20,78,2,8,,2,51,1600,977,123,166,6,129,1,36,84,11,30,,2,35,1413,922,84,146,4,110,,41,59,7,13,,,27
,송파구,사고건수,2758,1766,170,197,5,170,1,107,214,3,22,,6,97,2860,1884,178,225,11,188,3,86,178,,21,1,10,75,2892,1914,163,217,8,214,1,59,218,7,22,,8,61,2595,1591,107,225,5,261,,69,198,32,26,,17,64,2607,1640,111,203,7,254,,36,200,57,23,,9,67
,,사망자수,23,14,3,1,0,2,0,0,1,0,2,,0,0,27,20,0,3,0,1,0,2,0,,1,0,0,0,13,6,1,1,0,3,0,2,0,0,0,,0,0,11,3,2,3,0,2,,1,0,0,0,,0,0,14,2,3,8,0,1,,0,0,0,0,,0,0
,,부상자수,3805,2549,247,270,9,222,1,124,241,3,28,,7,104,3932,2709,259,307,19,219,3,105,196,,22,1,12,80,4003,2726,267,291,22,265,1,71,245,8,34,,8,65,3509,2254,136,295,10,325,,88,233,35,38,,19,76,3509,2297,137,278,8,334,,43,229,62,41,,9,71
,서초구,사고건수,2361,1810,151,157,6,104,,15,30,3,15,,5,65,2478,1876,204,150,3,120,,10,36,1,18,,,60,2418,1769,182,173,7,153,,16,46,16,14,,2,40,2250,1581,142,174,3,176,,6,60,31,17,,,60,2118,1454,161,159,8,177,1,2,51,30,15,,,60
,,사망자수,21,16,3,0,1,0,,0,0,0,1,,0,0,18,10,1,3,0,3,,0,0,0,1,,,0,14,6,0,2,0,3,,0,0,0,3,,0,0,9,5,1,2,0,0,,0,1,0,0,,,0,8,5,1,1,0,1,0,0,0,0,0,,,0
,,부상자수,3548,2765,262,237,9,124,,18,31,3,21,,5,73,3640,2772,350,225,7,144,,12,38,1,21,,,70,3530,2634,305,250,9,183,,18,50,18,16,,2,45,3075,2199,221,244,4,211,,6,64,32,25,,,69,2932,2029,268,217,14,225,1,2,57,37,18,,,64
,양천구,사고건수,1343,884,77,113,3,96,,29,76,1,10,,1,53,1428,976,101,132,3,97,2,13,46,,12,,1,45,1506,1004,92,150,1,124,2,13,70,2,11,,1,36,1344,902,70,120,3,92,2,37,75,8,11,,,24,1305,877,57,111,2,118,,21,58,5,11,,1,44
