년도,위반유형,지자체,발생건수,사망자수
2020,보행자보호의무위반,마포구,1.0,0.0
2020,보행자보호의무위반,서초구,1.0,0.0
2020,보행자보호의무위반,중구,1.0,0.0
2020,불법유턴,강남구,1.0,0.0
2020,불법유턴,노원구,1.0,0.0
2020,불법유턴,마포구,2.0,0.0
2020,불법유턴,성북구,1.0,0.0
2020,불법유턴,송파구,1.0,0.0
2020,신호위반,강남구,3.0,0.0
2020,신호위반,강동구,2.0,0.0
2020,신호위반,관악구,2.0,0.0
2020,신호위반,광진구,1.0,0.0
2020,신호위반,금천구,1.0,0.0
2020,신호위반,동대문구,2.0,0.0
2020,신호위반,동작구,2.0,0.0
2020,신호위반,마포구,2.0,0.0
2020,신호위반,서대문구,1.0,0.0
2020,신호위반,서초구,1.0,0.0
2020,신호위반,성동구,1.0,0.0
2020,신호위반,성북구,1.0,0.0
2020,신호위반,송파구,1.0,0.0
2020,신호위반,양천구,1.0,0.0
2020,신호위반,영등포구,3.0,0.0
2020,신호위반,은평구,2.0,0.0
2020,신호위반,중구,2.0,0.0
2020,신호위반,중랑구,2.0,0.0
2020,안전거리미확보,강남구,1.0,0.0
2020,안전거리미확보,구로구,1.0,0.0
2020,안전거리미확보,동대문구,1.0,0.0
2020,안전거리미확보,송파구,1.0,0.0
2020,안전거리미확보,중랑구,1.0,0.0
2020,안전운전불이행,강남구,55.0,0.0
2020,안전운전불이행,강동구,6.0,0.0
2020,안전운전불이행,강서구,8.0,0.0
2020,안전운전불이행,관악구,10.0,0.0
2020,안전운전불이행,광진구,17.0,0.0
2020,안전운전불이행,구로구,5.0,0.0
2020,안전운전불이행,금천구,4.0,0.0
2020,안전운전불이행,노원구,4.0,0.0
2020,안전운전불이행,도봉구,4.0,0.0
2020,안전운전불이행,동대문구,7.0,1.0
2020,안전운전불이행,동작구,4.0,0.0
2020,안전운전불이행,마포구,24.0,0.0
2020,안전운전불이행,서대문구,4.0,0.0
2020,안전운전불이행,서초구,16.0,0.0
2020,안전운전불이행,성동구,7.0,0.0
2020,안전운전불이행,성북구,1.0,0.0
2020,안전운전불이행,송파구,19.0,0.0
2020,안전운전불이행,양천구,7.0,0.0
2020,안전운전불이행,영등포구,5.0,0.0
2020,안전운전불이행,용산구,2.0,0.0
2020,안전운전불이행,종로구,4.0,0.0
2020,안전운전불이행,중구,5.0,0.0
2020,안전운전불이행,중랑구,2.0,0.0
2020,중앙선침범,강남구,6.0,0.0
2020,중앙선침범,관악구,1.0,0.0
2020,중앙선침범,구로구,4.0,0.0
2020,중앙선침범,노원구,2.0,0.0
2020,중앙선침범,도봉구,1.0,0.0
2020,중앙선침범,동작구,1.0,0.0
2020,중앙선침범,마포구,1.0,0.0
2020,중앙선침범,송파구,1.0,0.0
2020,중앙선침범,영등포구,2.0,0.0
2020,직진우회전진행방해,광진구,2.0,0.0
2020,직진우회전진행방해,금천구,1.0,0.0
2021,교차로운행방법위반,강서구,1.0,0.0
2021,교차로운행방법위반,노원구,1.0,0.0
2021,교차로운행방법위반,서대문구,1.0,0.0
2021,교차로운행방법위반,송파구,1.0,0.0
2021,기타,금천구,1.0,0.0
2021,기타,마포구,2.0,0.0
2021,기타,용산구,1.0,0.0
2021,기타,종로구,1.0,0.0
2021,보행자보호의무위반,광진구,2.0,0.0
2021,보행자보호의무위반,동작구,1.0,0.0
2021,보행자보호의무위반,마포구,1.0,0.0
2021,보행자보호의무위반,서초구,2.0,0.0
2021,불법유턴,강북구,1.0,0.0
2021,불법유턴,노원구,1.0,0.0
2021,불법유턴,동작구,2.0,0.0
2021,불법유턴,마포구,1.0,0.0
2021,불법유턴,서대문구,2.0,0.0
2021,불법유턴,서초구,3.0,0.0
2021,불법유턴,송파구,1.0,0.0
2021,불법유턴,종로구,1.0,0.0
2021,불법유턴,중랑구,1.0,0.0
2021,신호위반,강남구,6.0,0.0
2021,신호위반,강북구,3.0,0.0
2021,신호위반,강서구,2.0,0.0
2021,신호위반,관악구,1.0,0.0
2021,신호위반,광진구,1.0,0.0
2021,신호위반,노원구,1.0,0.0
2021,신호위반,도봉구,2.0,0.0
2021,신호위반,동대문구,1.0,0.0
2021,신호위반,마포구,5.0,0.0
2021,신호위반,서대문구,2.0,0.0
2021,신호위반,서초구,3.0,0.0
2021,신호위반,성동구,2.0,0.0
2021,신호위반,송파구,7.0,0.0
2021,신호위반,영등포구,1.0,0.0
2021,신호위반,은평구,3.0,0.0
2021,신호위반,종로구,1.0,0.0
2021,신호위반,중구,1.0,0.0
2021,신호위반,중랑구,3.0,0.0
2021,안전거리미확보,마포구,1.0,0.0
2021,안전거리미확보,영등포구,1.0,0.0
2021,안전거리미확보,중구,1.0,0.0
2021,안전거리미확보,중랑구,1.0,0.0
2021,안전운전불이행,강남구,50.0,0.0
2021,안전운전불이행,강동구,6.0,0.0
2021,안전운전불이행,강북구,8.0,0.0
2021,안전운전불이행,강서구,10.0,0.0
2021,안전운전불이행,관악구,10.0,0.0
2021,안전운전불이행,광진구,12.0,0.0
2021,안전운전불이행,구로구,6.0,0.0
2021,안전운전불이행,금천구,1.0,0.0
2021,안전운전불이행,노원구,12.0,1.0
2021,안전운전불이행,도봉구,1.0,0.0
2021,안전운전불이행,동대문구,8.0,0.0
2021,안전운전불이행,동작구,14.0,0.0
2021,안전운전불이행,마포구,23.0,0.0
2021,안전운전불이행,서대문구,4.0,0.0
2021,안전운전불이행,서초구,14.0,0.0
2021,안전운전불이행,성동구,10.0,0.0
2021,안전운전불이행,성북구,3.0,0.0
2021,안전운전불이행,송파구,41.0,0.0
2021,안전운전불이행,양천구,4.0,0.0
2021,안전운전불이행,영등포구,3.0,0.0
2021,안전운전불이행,용산구,4.0,0.0
2021,안전운전불이행,은평구,6.0,0.0
2021,안전운전불이행,중구,4.0,0.0
2021,안전운전불이행,중랑구,10.0,0.0
2021,중앙선침범,강남구,2.0,0.0
2021,중앙선침범,강북구,3.0,0.0
2021,중앙선침범,관악구,1.0,0.0
2021,중앙선침범,구로구,2.0,0.0
2021,중앙선침범,금천구,1.0,0.0
2021,중앙선침범,서초구,1.0,0.0
2021,중앙선침범,성동구,1.0,0.0
2021,중앙선침범,송파구,1.0,0.0
2021,중앙선침범,영등포구,3.0,0.0
2021,중앙선침범,용산구,1.0,0.0
2021,중앙선침범,은평구,2.0,0.0
2021,중앙선침범,종로구,1.0,0.0
2021,중앙선침범,중구,1.0,0.0
